OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2026-04-06,11,0,2026-04-06T17:00:00-00:00,2026-04-06T18:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,9879.06,DAM,3
2026-04-06,21,0,2026-04-07T03:00:00-00:00,2026-04-07T04:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,3,0,2026-04-06T09:00:00-00:00,2026-04-06T10:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,20,0,2026-04-07T02:00:00-00:00,2026-04-07T03:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,29.87,DAM,3
2026-04-06,10,0,2026-04-06T16:00:00-00:00,2026-04-06T17:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,8993.03,DAM,3
2026-04-06,19,0,2026-04-07T01:00:00-00:00,2026-04-07T02:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2499.63,DAM,3
2026-04-06,5,0,2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,18,0,2026-04-07T00:00:00-00:00,2026-04-07T01:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,9306.38,DAM,3
2026-04-06,9,0,2026-04-06T15:00:00-00:00,2026-04-06T16:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,7047.09,DAM,3
2026-04-06,17,0,2026-04-06T23:00:00-00:00,2026-04-07T00:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,12049.48,DAM,3
2026-04-06,1,0,2026-04-06T07:00:00-00:00,2026-04-06T08:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,16,0,2026-04-06T22:00:00-00:00,2026-04-06T23:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,12537.89,DAM,3
2026-04-06,8,0,2026-04-06T14:00:00-00:00,2026-04-06T15:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,3202.11,DAM,3
2026-04-06,15,0,2026-04-06T21:00:00-00:00,2026-04-06T22:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,12539.84,DAM,3
2026-04-06,4,0,2026-04-06T10:00:00-00:00,2026-04-06T11:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,14,0,2026-04-06T20:00:00-00:00,2026-04-06T21:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,12214.56,DAM,3
2026-04-06,7,0,2026-04-06T13:00:00-00:00,2026-04-06T14:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,216.6,DAM,3
2026-04-06,13,0,2026-04-06T19:00:00-00:00,2026-04-06T20:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,11782.17,DAM,3
2026-04-06,12,0,2026-04-06T18:00:00-00:00,2026-04-06T19:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,10749.92,DAM,3
2026-04-06,23,0,2026-04-07T05:00:00-00:00,2026-04-07T06:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3382.55,DAM,4
2026-04-06,22,0,2026-04-07T04:00:00-00:00,2026-04-07T05:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3361.89,DAM,4
2026-04-06,21,0,2026-04-07T03:00:00-00:00,2026-04-07T04:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3350.84,DAM,4
2026-04-06,20,0,2026-04-07T02:00:00-00:00,2026-04-07T03:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3330.75,DAM,4
2026-04-06,19,0,2026-04-07T01:00:00-00:00,2026-04-07T02:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3325.22,DAM,4
2026-04-06,18,0,2026-04-07T00:00:00-00:00,2026-04-07T01:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3299.79,DAM,4
2026-04-06,17,0,2026-04-06T23:00:00-00:00,2026-04-07T00:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3206.22,DAM,4
2026-04-06,16,0,2026-04-06T22:00:00-00:00,2026-04-06T23:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3024.24,DAM,4
2026-04-06,15,0,2026-04-06T21:00:00-00:00,2026-04-06T22:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,2710.74,DAM,4
2026-04-06,14,0,2026-04-06T20:00:00-00:00,2026-04-06T21:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,2361.65,DAM,4
2026-04-06,13,0,2026-04-06T19:00:00-00:00,2026-04-06T20:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,2107.48,DAM,4
2026-04-06,12,0,2026-04-06T18:00:00-00:00,2026-04-06T19:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1972.54,DAM,4
2026-04-06,11,0,2026-04-06T17:00:00-00:00,2026-04-06T18:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1898.13,DAM,4
2026-04-06,10,0,2026-04-06T16:00:00-00:00,2026-04-06T17:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1825.71,DAM,4
2026-04-06,9,0,2026-04-06T15:00:00-00:00,2026-04-06T16:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1807.57,DAM,4
2026-04-06,8,0,2026-04-06T14:00:00-00:00,2026-04-06T15:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1787.4,DAM,4
2026-04-06,7,0,2026-04-06T13:00:00-00:00,2026-04-06T14:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1748.7,DAM,4
2026-04-06,6,0,2026-04-06T12:00:00-00:00,2026-04-06T13:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1749.85,DAM,4
2026-04-06,5,0,2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1700.24,DAM,4
2026-04-06,4,0,2026-04-06T10:00:00-00:00,2026-04-06T11:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1624.3,DAM,4
2026-04-06,3,0,2026-04-06T09:00:00-00:00,2026-04-06T10:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1582.85,DAM,4
2026-04-06,2,0,2026-04-06T08:00:00-00:00,2026-04-06T09:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1544.61,DAM,4
2026-04-06,24,0,2026-04-07T06:00:00-00:00,2026-04-07T07:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,3410.91,DAM,4
2026-04-06,1,0,2026-04-06T07:00:00-00:00,2026-04-06T08:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1484.27,DAM,4
2026-04-06,24,0,2026-04-07T06:00:00-00:00,2026-04-07T07:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,2,0,2026-04-06T08:00:00-00:00,2026-04-06T09:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,23,0,2026-04-07T05:00:00-00:00,2026-04-07T06:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,6,0,2026-04-06T12:00:00-00:00,2026-04-06T13:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,22,0,2026-04-07T04:00:00-00:00,2026-04-07T05:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,11,0,2026-04-06T17:00:00-00:00,2026-04-06T18:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2797.57,DAM,5
2026-04-06,21,0,2026-04-07T03:00:00-00:00,2026-04-07T04:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,3,0,2026-04-06T09:00:00-00:00,2026-04-06T10:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,20,0,2026-04-07T02:00:00-00:00,2026-04-07T03:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,19.1,DAM,5
2026-04-06,10,0,2026-04-06T16:00:00-00:00,2026-04-06T17:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2509.16,DAM,5
2026-04-06,19,0,2026-04-07T01:00:00-00:00,2026-04-07T02:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,724.42,DAM,5
2026-04-06,5,0,2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,18,0,2026-04-07T00:00:00-00:00,2026-04-07T01:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2201.12,DAM,5
2026-04-06,9,0,2026-04-06T15:00:00-00:00,2026-04-06T16:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1860.55,DAM,5
2026-04-06,17,0,2026-04-06T23:00:00-00:00,2026-04-07T00:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2721.38,DAM,5
2026-04-06,1,0,2026-04-06T07:00:00-00:00,2026-04-06T08:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,16,0,2026-04-06T22:00:00-00:00,2026-04-06T23:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2945.31,DAM,5
